Model,Features,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
LogReg-Original,9,0.6197807017543859,0.03935159306875349,0.822429906542056,0.07510935666275471,0.7687904377300732,0.05463097924989195
LogReg-Engineered,19,0.6286842105263157,0.04037053979871912,0.8247663551401869,0.07697339729611863,0.7736104856537962,0.05847430563413471
XGBoost-Original,9,0.794780701754386,0.07362086258776329,0.8574766355140186,0.1355994827267689,0.910903994228433,0.32128348395281014
XGBoost-Engineered,19,0.7979824561403509,0.07523383489223262,0.8644859813084113,0.13842124953236065,0.9162381819898372,0.3565132492427878
